wave,Id,Owns Property,Weekly Gross Income,FY disposable income +,FY disposable income -
6,52371,0,873,39492,0
10,62121,1,1151,50494,0
14,149331,1,1105,51382,0
18,202591,1,0,72550,0
6,55331,0,0,27812,0
10,56001,0,0,5496,0
14,143731,0,0,34855,0
18,143871,0,0,39237,0
6,40741,0,900,42881,0
10,38961,1,1500,60152,0
14,183791,1,1800,76897,0
18,184351,1,1750,77591,0
6,25371,1,0,10878,0
10,77371,1,0,14942,0
14,205391,1,0,11077,0
18,205101,1,0,14794,0
6,62511,0,215,12060,0
10,19331,0,0,16786,0
14,206121,0,0,12200,0
18,156271,0,0,10600,0
6,4601,1,0,47598,0
10,5311,1,0,46320,0
14,113061,1,0,61104,0
18,112741,1,0,63800,0
6,71521,1,767,28033,0
10,71791,1,1424,55225,0
14,201611,1,1900,74833,0
18,202251,1,2400,89697,0
6,71801,1,0,0,0
10,74321,1,0,7000,0
14,202751,1,0,10000,0
18,202471,1,0,14722,0
6,71801,1,1400,54074,0
10,74321,1,0,44000,0
14,202751,1,0,43600,0
18,202471,1,0,48575,0
6,12661,1,633,29775,0
10,13731,1,620,33035,0
14,120331,1,0,7571,0
18,119761,1,0,18720,0
6,8251,1,1313,51808,0
10,9231,1,2129,77525,0
14,116361,1,400,20661,0
18,116011,1,829,35797,0
6,8251,1,1438,57270,0
10,9231,1,1343,59450,0
14,116361,1,1649,66388,0
18,116011,1,2002,77605,0
6,18661,1,1400,55831,0
10,20691,1,1252,79607,0
14,126491,1,1900,84869,0
18,131061,1,2100,82899,0
6,18661,1,900,53460,0
10,20691,1,0,29351,0
14,126491,1,0,23702,0
18,131061,1,0,2793,0
6,29701,1,1000,26973,0
10,26381,1,0,22691,0
14,172791,1,0,52576,0
18,173091,1,0,20000,0
6,29701,0,0,4104,0
10,26381,1,1375,59626,0
14,172791,1,1600,70403,0
18,173091,1,2000,84253,0
6,71621,1,0,31320,0
10,74191,1,0,12127,0
14,202631,1,0,15106,0
18,202291,1,0,25526,0
6,71621,1,0,11180,0
10,74191,1,0,19127,0
14,202631,1,0,16200,0
18,202291,1,0,29125,0
